date,SGEN,CASC
19/12/2017,52.57,3.6
20/12/2017,52.37,3.53
21/12/2017,52.77,3.64
22/12/2017,53.43,3.76
26/12/2017,53.59,3.79
27/12/2017,54.68,3.82
28/12/2017,55.04,3.83
29/12/2017,53.5,3.7
02/01/2018,56.13,3.87
03/01/2018,56.61,3.87
04/01/2018,55.53,3.76
05/01/2018,55.01,3.64
08/01/2018,54.68,3.56
09/01/2018,55.43,3.63
10/01/2018,53.38,3.72
11/01/2018,51.78,3.92
12/01/2018,52.36,4.07
16/01/2018,50.95,4.05
17/01/2018,52.56,4.22
18/01/2018,53.45,4.17
19/01/2018,53.48,4.27
22/01/2018,56.29,4.59
23/01/2018,56.76,4.73
24/01/2018,55.96,4.63
25/01/2018,55.59,4.92
26/01/2018,56.08,5.15
29/01/2018,56.6,5.6
30/01/2018,55.21,5.9
31/01/2018,52.3,10.06
01/02/2018,56.15,9.96
02/02/2018,55.9,9.96
05/02/2018,53.27,9.97
06/02/2018,54.24,10
07/02/2018,51.9,9.98
08/02/2018,50.54,9.97
09/02/2018,50.14,9.99
12/02/2018,52.31,9.98
13/02/2018,52.15,10
14/02/2018,54.06,10
15/02/2018,54.85,9.99
16/02/2018,54.48,9.99
20/02/2018,54.16,9.98
21/02/2018,54.11,9.98
22/02/2018,53.78,10
23/02/2018,55.35,10
26/02/2018,55.92,9.99
27/02/2018,55.55,9.98
28/02/2018,54,9.97
01/03/2018,52.27,9.97
02/03/2018,52.8,10
05/03/2018,54.71,9.98
